,w_star,method,gamma,N,expected_return,wasserstein_distance
145,"[0.00000000e+00 0.00000000e+00 1.01123832e-11 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,100,28.680000000292246,0.06425209236240004
146,"[1.51824039e-13 7.20260913e-12 3.41909365e-01 6.58090634e-01
 1.37539238e-11]",Bayesian,0.1,200,28.755220032138112,0.07251165384537359
147,"[5.33139777e-14 4.73073564e-14 7.65571137e-02 9.23442886e-01
 7.17849578e-14]",Bayesian,1.0,50,28.69684255641432,0.030622845540035568
148,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.10862447e-15]",Bayesian,1.0,100,28.680000000000074,1.787459069856414e-15
149,"[0.00000000e+00 0.00000000e+00 8.88178420e-16 1.00000000e+00
 1.19071419e-14]",Bayesian,1.0,200,28.680000000000312,3.647082628132653e-15
150,"[4.02132615e-01 1.85805147e-16 2.60647465e-02 5.71802639e-01
 0.00000000e+00]",Bayesian,5.0,50,27.652253438020004,0.10938521247618273
151,[0.0000000e+00 0.0000000e+00 6.9388939e-17 1.0000000e+00 0.0000000e+00],Bayesian,5.0,100,28.680000000000003,0.061893732023817316
152,"[7.42951049e-02 0.00000000e+00 0.00000000e+00 9.25704895e-01
 1.11022302e-16]",Bayesian,5.0,200,28.489061577539,0.03217569004381733
153,"[0.00000000e+00 3.38947097e-13 7.65346484e-01 2.34653516e-01
 4.03850524e-13]",Bayesian,0.1,50,28.84837622649831,0.029609314049446684
154,[0.         0.         0.34140307 0.65859693 0.        ],Bayesian,0.1,100,28.755108675399995,0.07230913564959526
155,"[2.75329759e-12 8.38845660e-12 0.00000000e+00 1.00000000e+00
 1.57833746e-11]",Bayesian,0.1,200,28.680000000665004,0.06425209235903748
156,[0.         0.         0.14783461 0.85216539 0.        ],Bayesian,1.0,50,28.712523614200002,0.059133844000001164
157,"[0.00000000e+00 0.00000000e+00 7.21644966e-16 1.00000000e+00
 2.33146835e-15]",Bayesian,1.0,100,28.680000000000078,1.6986412273326531e-15
158,"[1.36002321e-15 7.49400542e-16 2.49800181e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.68000000000006,1.559863350732653e-15
159,"[4.56844092e-02 6.93889390e-17 0.00000000e+00 9.54315591e-01
 1.73472348e-16]",Bayesian,5.0,50,28.562591074092005,0.04361996838381735
160,"[0.00000000e+00 0.00000000e+00 2.60208521e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100,28.680000000000007,0.06189373202381728
161,"[0.00000000e+00 2.42861287e-16 9.02056208e-17 1.00000000e+00
 2.22044605e-16]",Bayesian,5.0,200,28.680000000000014,0.06189373202381733
162,"[0.00000000e+00 0.00000000e+00 4.57872629e-12 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,50,28.680000000132324,0.06425209236350676
163,"[2.47285525e-12 7.76353981e-12 0.00000000e+00 1.00000000e+00
 1.46735402e-11]",Bayesian,0.1,100,28.68000000061509,0.06425209235944052
164,"[1.61257209e-11 1.69345460e-11 1.73732466e-01 8.26267533e-01
 2.23154417e-11]",Bayesian,0.1,200,28.71822111522755,0.0052408942466526404
165,"[0.00000000e+00 7.77156117e-16 0.00000000e+00 1.00000000e+00
 1.88737914e-15]",Bayesian,1.0,50,28.680000000000067,1.6209256155326532e-15
166,"[1.44328993e-15 0.00000000e+00 8.32667268e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.68000000000006,1.543210003732653e-15
167,"[8.88178420e-16 0.00000000e+00 2.77555756e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.68000000000003,1.376676550443961e-15
168,"[6.75407837e-02 8.32667268e-17 0.00000000e+00 9.32459216e-01
 7.63278329e-17]",Bayesian,5.0,50,28.50642017728701,0.03487741848381735
169,"[1.67808401e-01 1.56125113e-16 0.00000000e+00 8.32191599e-01
 1.38777878e-17]",Bayesian,5.0,100,28.24873240943,0.005229628376182718
170,"[2.62358174e-01 4.21537805e-16 0.00000000e+00 7.37641826e-01
 5.65519853e-16]",Bayesian,5.0,200,28.005739492820023,0.043049537576182885
171,"[6.18643963e-13 4.14580422e-12 2.88670457e-01 7.11329543e-01
 7.11633111e-12]",Bayesian,0.1,50,28.743507500832738,0.0512160904472191
172,"[0.00000000e+00 9.30313689e-13 6.42061914e-01 3.57938086e-01
 1.47938330e-12]",Bayesian,0.1,100,28.821253621139224,0.07892314204911331
173,[0.         0.         0.17400284 0.82599716 0.        ],Bayesian,0.1,200,28.7182806248,0.005349043649595248
174,"[1.46228534e-14 2.06599485e-14 1.32971606e-02 9.86702839e-01
 3.12054477e-14]",Bayesian,1.0,50,28.682925363861656,0.005318864320014386
175,[0.         0.         0.09049984 0.90950016 0.        ],Bayesian,1.0,100,28.6999099648,0.03619993600000117
176,"[0.00000000e+00 0.00000000e+00 1.99840144e-15 1.00000000e+00
 5.35682609e-15]",Bayesian,1.0,200,28.680000000000184,2.559064070132653e-15
177,"[0.00000000e+00 2.35922393e-16 0.00000000e+00 1.00000000e+00
 2.42861287e-16]",Bayesian,5.0,50,28.680000000000014,0.061893732023817316
178,"[6.88261592e-02 1.52655666e-16 1.18381181e-01 8.12792660e-01
 1.23165367e-16]",Bayesian,5.0,100,28.529160636412005,0.0275304636400001
179,"[1.15119945e-01 0.00000000e+00 2.42861287e-17 8.84880055e-01
 0.00000000e+00]",Bayesian,5.0,200,28.38414174135,0.01584575402381732
